bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b11,10,10.1841,uM,10 uM,24 h,24,h,PC3,BRD-K60391168,3,0.48,248,0.348881,0,"""""""""""""""""""""""""""""""""",0,0,0.402618,0.714938,17.58,73.4999,1,1,BRD-K60391168,DOSBIO001_PC3_24H:BRD-K60391168:10.1841,trt_cp,PC3,L16,DOSBIO001_PC3_24H_X1_B11|DOSBIO001_PC3_24H_X2_B11|DOSBIO001_PC3_24H_X3_B11,DOSBIO001_PC3_24H_X1_B11:L16|DOSBIO001_PC3_24H_X2_B11:L16|DOSBIO001_PC3_24H_X3_B11:L16,,DOSBIO,BRD-K60391168,1,1,0,1,1460,BRD-K60391168_10 uM_24 h_PC3,1,BRD-K60391168_10 uM_24 h
b11,10,10.1576,uM,10 uM,24 h,24,h,PC3,BRD-K08317416,3,0.47,291,0.373961,0,"""""""""""""""""""""""""""""""""",0,0,0.45159,0.707413,17.58,73.4999,1,1,BRD-K08317416,DOSBIO001_PC3_24H:BRD-K08317416:10.1576,trt_cp,PC3,E10,DOSBIO001_PC3_24H_X1_B11|DOSBIO001_PC3_24H_X2_B11|DOSBIO001_PC3_24H_X3_B11,DOSBIO001_PC3_24H_X1_B11:E10|DOSBIO001_PC3_24H_X2_B11:E10|DOSBIO001_PC3_24H_X3_B11:E10,,DOSBIO,BRD-K08317416,1,1,0,1,1460,BRD-K08317416_10 uM_24 h_PC3,1,BRD-K08317416_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K13078532,3,0.49,604,0.550107,0.990099,"""""""""""""""""""""""""""""""""",58.9326,25.3102,-0.0333866,0.349764,18.89,76.9165,0,1,BRD-K13078532,CPD001_PC3_24H:BRD-K13078532-001-21-9:10,trt_cp,PC3,A19,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:A19|CPD001_PC3_24H_X2_B6_DUO52HI53LO:A19|CPD001_PC3_24H_X3_B6_DUO52HI53LO:A19,,CPD,hydrochlorothiazide,1,1,0,1,1460,hydrochlorothiazide_10 uM_24 h_PC3,1,hydrochlorothiazide_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K86858124,3,0.52,298,0.398053,0,"""""""""""""""""""""""""""""""""",0.13369,0.39824,0.503741,0.698724,18.89,76.9165,1,1,BRD-K86858124,CPD001_PC3_24H:BRD-K86858124-001-01-2:10,trt_cp,PC3,O12,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:O12|CPD001_PC3_24H_X2_B6_DUO52HI53LO:O12|CPD001_PC3_24H_X3_B6_DUO52HI53LO:O12,,CPD,paclitaxel,1,1,0,1,1460,paclitaxel_10 uM_24 h_PC3,4,paclitaxel_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-A98175426,3,0.55,532,0.546975,0,"""""""""""""""""""""""""""""""""",19.4848,3.53371,0.0853232,0.516118,18.69,76.3709,1,1,BRD-A98175426,CPD002_PC3_24H:BRD-A98175426-001-01-4:10,trt_cp,PC3,H14,CPD002_PC3_24H_X1_B6_DUO52HI53LO|CPD002_PC3_24H_X2_B6_DUO52HI53LO|CPD002_PC3_24H_X3_B6_DUO52HI53LO,CPD002_PC3_24H_X1_B6_DUO52HI53LO:H14|CPD002_PC3_24H_X2_B6_DUO52HI53LO:H14|CPD002_PC3_24H_X3_B6_DUO52HI53LO:H14,,CPD,betaescin,1,1,0,1,1460,betaescin_10 uM_24 h_PC3,1,betaescin_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K39987650,3,0.3,420,0.358935,0.184672,"""""""""""""""""""""""""""""""""",0.142045,7.52765,0.262264,0.501473,18.69,76.3709,1,1,BRD-K39987650,CPD002_PC3_24H:BRD-K39987650-001-18-3:10,trt_cp,PC3,C19,CPD002_PC3_24H_X1_B6_DUO52HI53LO|CPD002_PC3_24H_X2_B6_DUO52HI53LO|CPD002_PC3_24H_X3_B6_DUO52HI53LO,CPD002_PC3_24H_X1_B6_DUO52HI53LO:C19|CPD002_PC3_24H_X2_B6_DUO52HI53LO:C19|CPD002_PC3_24H_X3_B6_DUO52HI53LO:C19,,CPD,bisacodyl,1,1,0,1,1460,bisacodyl_10 uM_24 h_PC3,1,bisacodyl_10 uM_24 h
b11,10,9.95458,uM,10 uM,24 h,24,h,PC3,BRD-K58860003,3,0.45,269,0.351814,0,"""""""""""""""""""""""""""""""""",2.38762,0,0.262357,0.652132,17.58,73.4999,1,1,BRD-K58860003,DOSBIO001_PC3_24H:BRD-K58860003:9.95458,trt_cp,PC3,A22,DOSBIO001_PC3_24H_X1_B11|DOSBIO001_PC3_24H_X2_B11|DOSBIO001_PC3_24H_X3_B11,DOSBIO001_PC3_24H_X1_B11:A22|DOSBIO001_PC3_24H_X2_B11:A22|DOSBIO001_PC3_24H_X3_B11:A22,,DOSBIO,SA-1921617,1,1,0,1,1460,SA-1921617_10 uM_24 h_PC3,1,SA-1921617_10 uM_24 h
b11,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K55149044,3,0.36,252,0.304566,0.0988142,"""""""""""""""""""""""""""""""""",0.805405,2.0018,0.344685,0.60062,17.44,72.9831,1,1,BRD-K55149044,DOSBIO002_PC3_24H:BRD-K55149044:10,trt_cp,PC3,C14,DOSBIO002_PC3_24H_X1_B11|DOSBIO002_PC3_24H_X2_B11|DOSBIO002_PC3_24H_X3_B11,DOSBIO002_PC3_24H_X1_B11:C14|DOSBIO002_PC3_24H_X2_B11:C14|DOSBIO002_PC3_24H_X3_B11:C14,,DOSBIO,BRD-K55149044,1,1,0,1,1460,BRD-K55149044_10 uM_24 h_PC3,1,BRD-K55149044_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K52256627,3,0.47,287,0.371382,0,"""""""""""""""""""""""""""""""""",0.132275,0.13369,0.462456,0.742688,18.89,76.9165,1,1,BRD-K52256627,CPD001_PC3_24H:BRD-K52256627-001-17-7:10,trt_cp,PC3,M08,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:M08|CPD001_PC3_24H_X2_B6_DUO52HI53LO:M08|CPD001_PC3_24H_X3_B6_DUO52HI53LO:M08,,CPD,chlorhexidine,1,1,0,1,1460,chlorhexidine_10 uM_24 h_PC3,1,chlorhexidine_10 uM_24 h
b7,10,10,uM,10 uM,6 h,6,h,PC3,CMAP-PRISM-1B-PARENT,4,0.35,457,0.404411,0,"""""""""""""""""""""""""""""""""",0,0,0,0,-3.01,0.31582,0,1,CMAP-PRISM-1B-PARENT,PRISM001_PC3_6H:CMAP-PRISM-1B-PARENT:10,trt_cp,PC3,I21|I22|J21|J22,PRISM001_PC3_6H_X1_B7_DUO52HI53LO,PRISM001_PC3_6H_X1_B7_DUO52HI53LO:I21|PRISM001_PC3_6H_X1_B7_DUO52HI53LO:I22|PRISM001_PC3_6H_X1_B7_DUO52HI53LO:J21|PRISM001_PC3_6H_X1_B7_DUO52HI53LO:J22,,PRISM,CMAP-PRISM-1B-PARENT,1,1,0,1,1460,CMAP-PRISM-1B-PARENT_10 uM_6 h_PC3,1,CMAP-PRISM-1B-PARENT_10 uM_6 h
