bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
f1b10,3.33,3.33,uM,3.33 uM,24 h,24,h,A549,BRD-K28296557,3,0.57,446,0.509842,0.107181,"""""""""""""""""""""""""""""""""",0,0.416894,0.556869,0.745969,7.23,27.8496,1,1,BRD-K28296557,HOG002_A549_24H:BRD-K28296557-005-14-6:3.33,trt_cp,A549,H04,HOG002_A549_24H_X1_F1B10|HOG002_A549_24H_X2_F1B10|HOG002_A549_24H_X3_F1B10,HOG002_A549_24H_X1_F1B10:H04|HOG002_A549_24H_X2_F1B10:H04|HOG002_A549_24H_X3_F1B10:H04,,HOG,BRD-K28296557,1,1,0,1,822,BRD-K28296557_3.33 uM_24 h_A549,1,BRD-K28296557_3.33 uM_24 h
b20,0.04,0.04,uM,0.04 uM,24 h,24,h,A549,BRD-K17588104,3,0.53,355,0.438614,0.198588,"0.31,0.37,0.32",0.662779,1.72309,0.502873,0.580675,19.5,78.4956,1,1,BRD-K17588104,PCL001_A549_24H:BRD-K17588104:0.04,trt_cp,A549,A12,PCL001_A549_24H_X1_B20|PCL001_A549_24H_X2_B20|PCL001_A549_24H_X3_B20,PCL001_A549_24H_X1_B20:A12|PCL001_A549_24H_X2_B20:A12|PCL001_A549_24H_X3_B20:A12,,PCL,JQ-1-R,1,1,0,1,822,JQ-1-R_0.04 uM_24 h_A549,1,JQ-1-R_0.04 uM_24 h
b21,20,20.48,uM,20 uM,24 h,24,h,A549,BRD-K96884956,3,0.64,418,0.523008,0,"0.34,0.33,0.33",0,0.134048,0.628799,0.764151,16.24,69.3942,1,1,BRD-K96884956,ERAM001_A549_24H:BRD-K96884956:20.48,trt_cp,A549,L07,ERAM001_A549_24H_X1_B21|ERAM001_A549_24H_X2_B21|ERAM001_A549_24H_X3_B21,ERAM001_A549_24H_X1_B21:L07|ERAM001_A549_24H_X2_B21:L07|ERAM001_A549_24H_X3_B21:L07,,ERAM,BRD-K96884956,1,1,0,1,822,BRD-K96884956_20 uM_24 h_A549,1,BRD-K96884956_20 uM_24 h
b11,10,10.1901,uM,10 uM,24 h,24,h,A549,BRD-K98624380,3,0.38,333,0.359703,4.56349,"""""""""""""""""""""""""""""""""",12.091,7.38887,0.372272,0.567576,10.33,43.8989,0,1,BRD-K98624380,DOSBIO002_A549_24H:BRD-K98624380:10.1901,trt_cp,A549,J03,DOSBIO002_A549_24H_X1_B11|DOSBIO002_A549_24H_X2_B11|DOSBIO002_A549_24H_X3_B12,DOSBIO002_A549_24H_X1_B11:J03|DOSBIO002_A549_24H_X2_B11:J03|DOSBIO002_A549_24H_X3_B12:J03,,DOSBIO,BRD-K98624380,1,1,0,1,822,BRD-K98624380_10 uM_24 h_A549,1,BRD-K98624380_10 uM_24 h
b22,10,10,uM,10 uM,6 h,6,h,A549,BRD-K80738081,3,0.58,301,0.422501,0,"0.33,0.33,0.34",0.549451,0.549451,0.576453,0.721161,0.37,6.97674,1,1,BRD-K80738081,LPROT002_A549_6H:BRD-K80738081:10,trt_cp,A549,C19|C21|C23,LPROT002_A549_6H_X1_B22,LPROT002_A549_6H_X1_B22:C19|LPROT002_A549_6H_X1_B22:C21|LPROT002_A549_6H_X1_B22:C23,,LPROT,resveratrol,1,1,0,1,822,resveratrol_10 uM_6 h_A549,1,resveratrol_10 uM_6 h
b11,10,10.234,uM,10 uM,24 h,24,h,A549,BRD-K25990552,3,0.6,362,0.47126,1.09127,"""""""""""""""""""""""""""""""""",7.25554,7.2559,0.487381,0.592719,10.33,43.8989,0,1,BRD-K25990552,DOSBIO002_A549_24H:BRD-K25990552:10.234,trt_cp,A549,A03,DOSBIO002_A549_24H_X1_B11|DOSBIO002_A549_24H_X2_B11|DOSBIO002_A549_24H_X3_B12,DOSBIO002_A549_24H_X1_B11:A03|DOSBIO002_A549_24H_X2_B11:A03|DOSBIO002_A549_24H_X3_B12:A03,,DOSBIO,BRD-K25990552,1,1,0,1,822,BRD-K25990552_10 uM_24 h_A549,1,BRD-K25990552_10 uM_24 h
b20,0.37,0.37,uM,0.37 uM,24 h,24,h,A549,BRD-A89859721,3,0.46,237,0.333875,2.64784,"0.42,0.39,0.20",13.8009,0.265252,0.202143,0.633005,19.5,78.4956,1,1,BRD-A89859721,PCL001_A549_24H:BRD-A89859721:0.37,trt_cp,A549,J10,PCL001_A549_24H_X1_B20|PCL001_A549_24H_X2_B20|PCL001_A549_24H_X3_B20,PCL001_A549_24H_X1_B20:J10|PCL001_A549_24H_X2_B20:J10|PCL001_A549_24H_X3_B20:J10,,PCL,BRD-A89859721,1,1,0,1,822,BRD-A89859721_0.37 uM_24 h_A549,1,BRD-A89859721_0.37 uM_24 h
b21,20,20.02,uM,20 uM,24 h,24,h,A549,BRD-K03587208,3,0.58,283,0.409673,0,"0.33,0.33,0.34",0,0,0.568531,0.811105,16.24,69.3942,1,1,BRD-K03587208,ERAM001_A549_24H:BRD-K03587208:20.02,trt_cp,A549,L19,ERAM001_A549_24H_X1_B21|ERAM001_A549_24H_X2_B21|ERAM001_A549_24H_X3_B21,ERAM001_A549_24H_X1_B21:L19|ERAM001_A549_24H_X2_B21:L19|ERAM001_A549_24H_X3_B21:L19,,ERAM,BRD-K03587208,1,1,0,1,822,BRD-K03587208_20 uM_24 h_A549,1,BRD-K03587208_20 uM_24 h
b32,10,10,uM,10 uM,24 h,24,h,A549,BRD-K64117221,3,0.4,240,0.313304,0.380483,"0.27,0.27,0.46",0.403826,0.410827,0.401634,0.651809,9.77,40.8843,1,1,BRD-K64117221,MOA001_A549_24H:I21,trt_cp,A549,I21,MOA001_A549_24H_X1_B32|MOA001_A549_24H_X2_B32|MOA001_A549_24H_X3_B32,MOA001_A549_24H_X1_B32:I21|MOA001_A549_24H_X2_B32:I21|MOA001_A549_24H_X3_B32:I21,,MOA,necrosulfonamide,1,1,0,1,822,necrosulfonamide_10 uM_24 h_A549,1,necrosulfonamide_10 uM_24 h
b21,20,20.01,uM,20 uM,24 h,24,h,A549,BRD-M90295809,3,0.56,262,0.387325,0,"0.34,0.36,0.30",0,0,0.478236,0.708104,16.24,69.3942,1,1,BRD-M90295809,ERAM001_A549_24H:BRD-M90295809:20.01,trt_cp,A549,K01,ERAM001_A549_24H_X1_B21|ERAM001_A549_24H_X2_B21|ERAM001_A549_24H_X3_B21,ERAM001_A549_24H_X1_B21:K01|ERAM001_A549_24H_X2_B21:K01|ERAM001_A549_24H_X3_B21:K01,,ERAM,BRD-M90295809,1,1,0,1,822,BRD-M90295809_20 uM_24 h_A549,1,BRD-M90295809_20 uM_24 h
